Fuel,Param,Value,data_type,Unit,,Exchange rate,123.9838,NPR/USD
LPG,ch4_intensity,0.003,float,kg/GJ,,,,
LPG,n2o_intensity,0.0001,float,kg/GJ,,,,
LPG,bc_intensity,0.0044,float,kg/GJ,,,,
LPG,oc_intensity,0.0091,float,kg/GJ,,,,
LPG,om_cost,3.7,float,USD/year,,,,
LPG,inv_cost,27.5,float,USD,,,,
LPG,current_share_urban,0.566881258,float,-,,,,
Mini_Grids,current_share_rural,0,float,-,,,,
Mini_Grids,efficiency,0.85,float,,,,,
Mini_Grids,energy_content,3.6,float,,,,,
Mini_Grids,fuel_cost,0.07,float,,,,,
Mini_Grids,generation_hydro,1,float,GWh,,,,
Mini_Grids,name,Mini_Grids,string,,,,,
Mini_Grids,pm25,80,float,,,,,
Mini_Grids,tech_life,5,float,,,,,
Mini_Grids,time_of_collection,0,float,,,,,
Mini_Grids,connection_cost,93,float,USD,,,,
Mini_Grids,time_of_cooking,2.5,float,,,,,
Mini_Grids,om_cost,3.7,float,USD/year,,,,
Mini_Grids,inv_cost,36.3,float,USD,,,,
Mini_Grids,stove_power,0.7,float,kW,,,,
Mini_Grids,capacity_factor,0.8,float,-,,,,
Mini_Grids,base_load,0.1,float,kW/hh,,,,
Mini_Grids,current_share_urban,0,float,-,,,,
Traditional_Biomass,current_share_rural,0.749715709,float,-,,,,
Traditional_Biomass,pm25,656,float,,,122.7871068,0.995145631,
Traditional_Biomass,energy_content,16,float,MJ/kg,,199.6026408,3.184466019,
Traditional_Biomass,co2_intensity,112,float,kg/GJ,,,76.81553398,
Traditional_Biomass,name,Traditional_Biomass,string,,,,,
Traditional_Biomass,time_of_collection,2.3,float,h/day,,,,
Traditional_Biomass,fuel_cost,0,float,USD/kg,,,,
Traditional_Biomass,efficiency,0.14,float,,,,,
Traditional_Biomass,time_of_cooking,3.19,float,,,,,
Traditional_Biomass,tech_life,2,float,,,,,
Traditional_Biomass,ch4_intensity,0.864,float,kg/GJ,,,,
Traditional_Biomass,n2o_intensity,0.0039,float,kg/GJ,,,,
Traditional_Biomass,bc_intensity,0.1075,float,kg/GJ,,,,
Traditional_Biomass,oc_intensity,0.308,float,kg/GJ,,,,
Traditional_Biomass,om_cost,0,float,USD/year,,,,
Traditional_Biomass,inv_cost,0,float,USD,,,,
Traditional_Biomass,current_share_urban,0.393173038,float,-,,,,
